================================================================================================================================================================================================================================================
H065 TP-OVERLAY SWEEP — KPI METRICS TABLE (per design.md §13)
================================================================================================================================================================================================================================================
Config                            M  Kelly Symbol    OOS_ROI%   MaxDD%            W/L/Z   Sharpe   Calmar     PF  R_mean  MPPM_low   MPPM_pt   MPPM_hi    tau3   n_trd   subROI%   subDD%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
M_inf_h062_v1_fixed_rebase      inf   0.25 ES         +40.54%  +15.62%          12/97/1    1.357    9.697   1.48  +0.404    -1.013    +0.922    +3.315  +0.899     110    +0.00%   +0.00%
M_inf_h062_v1_fixed_rebase      inf   0.25 MGC       +116.48% +100.00%     1161/4046/14   -0.138   -0.204   1.04  +0.041    -1.333    -0.228    +0.593  +0.745    5221    +3.19%   +3.10%
M_inf_h062_v1_fixed_rebase      inf   0.25 NQ          +0.00%   -0.00%            0/0/0      n/a      n/a   0.00  +0.000      +nan      +nan      +nan    +nan       0    +0.00%   +0.00%
M_inf_h062_v1_fixed_rebase      inf   0.25 SIL       +446.38%  +25.20%      787/3349/29    1.081    1.204   1.17  +0.115    +0.087    +0.265    +0.459  +0.776    4165    +0.00%   +0.00%
M_inf_h062_v1_fixed_rebase      inf   0.25 BASKET     +10.33%  +79.38%     1960/7492/44    0.032    0.017   1.16  +0.140    -0.247    +0.013    +0.225  +0.807    9496    +0.79%   +0.67%
M_inf_h065_current_rebase       inf   0.25 ES         +54.37%  +49.62%        113/638/8    0.365    0.482   1.06  +0.113    -0.563    +0.215    +1.024  +0.856     759    -0.86%   +0.86%
M_inf_h065_current_rebase       inf   0.25 MGC        -82.69%  +93.99%      748/2851/12   -0.628   -0.312   0.97  -0.034    -0.852    -0.347    +0.147  +0.766    3611    +0.00%   +0.00%
M_inf_h065_current_rebase       inf   0.25 NQ          +0.00%   -0.00%            0/0/0      n/a      n/a   0.00  +0.000      +nan      +nan      +nan    +nan       0    +0.00%   +0.00%
M_inf_h065_current_rebase       inf   0.25 SIL       +734.68%  +64.84%     1142/4422/36    0.488    0.504   1.05  +0.093    -0.137    +0.282    +0.705  +0.759    5600    -0.05%  +22.18%
M_inf_h065_current_rebase       inf   0.25 BASKET     +22.21%  +53.61%     2003/7911/56    0.118    0.049   1.06  +0.043    -0.122    +0.026    +0.183  +0.794    9970    -0.23%   +6.18%
M_1.0                           1.0   0.25 ES          +8.18%   +6.54%          78/68/1    1.079    3.551   1.13  +0.067    -0.294    +0.183    +0.702  -0.070     147    +0.00%   +0.00%
M_1.0                           1.0   0.25 MGC        +62.25%  +68.57%     4828/4747/16    0.227    0.099   1.02  +0.011    -0.156    +0.065    +0.273  -0.014    9591    +6.35%  +11.21%
M_1.0                           1.0   0.25 NQ          +0.00%   -0.00%            0/0/0      n/a      n/a   0.00  +0.000      +nan      +nan      +nan    +nan       0    +0.00%   +0.00%
M_1.0                           1.0   0.25 SIL        -62.71%  +63.25%     1455/1513/25   -1.137   -0.338   0.91  -0.038    -0.442    -0.240    -0.041  -0.019    2993    +0.00%   +0.00%
M_1.0                           1.0   0.25 BASKET     -10.05%  +31.25%     6361/6328/42   -0.166   -0.045   1.01  +0.010    -0.072    -0.014    +0.047  -0.034   12731    +1.55%   +2.71%
M_1.5                           1.5   0.25 ES         +18.15%   +9.74%         94/116/1    1.278    3.131   1.16  +0.103    -0.238    +0.266    +0.806  +0.116     211    +0.00%   +0.00%
M_1.5                           1.5   0.25 MGC         -7.84%  +77.56%     3010/4297/19   -0.037   -0.015   1.00  +0.008    -0.258    -0.012    +0.222  +0.189    7326    +0.77%   +6.80%
